target_id	length	eff_length	est_counts	tpm
YHR055C	186	19.0638	26	665.279
YPR161C	1974	1795	102	27.7189
YOL138C	4026	3847	81	10.2708
YDR395W	2835	2656	116	21.3044
YGR129W	648	469	18	18.7215
YPR165W	630	451	544	588.386
YPR098C	486	307	49	77.857
YPL015C	1074	895	185	100.83
YCL050C	966	787	293	181.607
YAL069W	315	136	0	0
YMR193W	777	598	28	22.84
YLR031W	561	382	2	2.55392
YIL014C-A	315	136	8	28.694
YGR053C	852	673	20	14.4962
YCR101C	549	370	7	9.22861
YER087C-B	249	70.019	51	355.299
YOR280C	801	622	38	29.8012
YGR097W	3441	3262	380	56.825
YHR215W	1404	1225	10.3036	4.10293
YKL025C	2040	1861	86	22.542
YKR011C	1062	883	94	51.9287
YEL004W	1029	850	24	13.7731
YJL200C	2370	2191	63	14.0261
YLL027W	753	574	138	117.275
YOR024W	324	145	0	0
YLR045C	2667	2488	149	29.213
YDR348C	1500	1321	229	84.5615
YPL183C	3042	2863	32	5.45216
YGR003W	2235	2056	25	5.9314
YEL008C-A	93	4.74468	0	0
YBL095W	813	634	60.5759	46.6069
YGL060W	1926	1747	46	12.8441
YLL007C	1998	1819	34	9.11772
YEL009C	846	667	1427	1043.61
YEL015W	1656	1477	140	46.2368
YOR083W	888	709	44	30.2724
YBR252W	444	265	75	138.056
YDR329C	1326	1147	138	58.6889
YDL202W	750	571	57	48.6944
YHR209W	876	697	55	38.492
YPR008W	2085	1906	223	57.0719
YER075C	2787	2608	25	4.67598
YDL203C	1872	1693	56	16.1351
YBR050C	1017	838	32.7491	19.0632
YMR197C	654	475	134	137.61
YDR261W-A	1317	1138	11.2232	4.81075
YBL049W	417	238	13	26.6444
YER054C	1647	1468	70	23.2601
YDR305C	654	475	36	36.97
YHL019W-A	594	415	43.6741	51.3352
YNL201C	2577	2398	53	10.7812
YHR180W-A	183	17.7996	0	0
YCR061W	1896	1717	110	31.2509
YBR206W	324	145	33.1693	111.586
YPL171C	1203	1024	11	5.24002
YHR051W	447	268	96	174.734
YDL116W	2181	2002	105	25.5838
YPR124W	1221	1042	163.244	76.4203
YJL023C	1044	865	21	11.8425
YGL167C	2853	2674	446.2	81.397
YDL165W	576	397	65	79.8662
YLR154C-H	132	7.19434	0	0
YPL119C-A	264	85.0011	11	63.126
YIL143C	2532	2353	121	25.0844
YBR292C	372	193	0	0
YGR240C	2964	2785	1630	285.498
YOR094W	552	373	26	34.002
YDR167W	621	442	88	97.1182
YBR063C	1215	1036	31	14.5963
YER052C	1584	1405	173	60.0634
YGR178C	2169	1990	530	129.916
YPL118W	1035	856	117	66.6733
YPR187W	468	289	149	251.494
YJL065C	504	325	53.2807	79.9698
YOL141W	2088	1909	3	0.766576
YPR086W	1038	859	123	69.8477
YBR122C	534	355	42	57.7113
YBR271W	1260	1081	25	11.2812
YBR279W	1338	1159	165	69.4449
YHR095W	495	316	7	10.8057
YMR221C	1515	1336	89	32.4955
YDR241W	288	109	0	0
YJL221C	1770	1591	23.8186	7.30274
YER130C	1332	1153	69	29.1917
YBR155W	1158	979	78	38.8644
YDR363W	1371	1192	47	19.2336
YGR266W	2106	1927	120	30.3766
YLR443W	1347	1168	102.458	42.7899
YPL147W	2613	2434	59	11.8242
YAL034C	1242	1063	86	39.4644
YBR067C	633	454	141	151.497
YCR095C	1089	910	35	18.7615
YLR270W	1053	874	131	73.1139
YPR084W	1371	1192	53	21.689
YBR184W	1572	1393	7	2.45125
YMR113W	1284	1105	62	27.3697
YGR035C	351	172	0	0
YDL222C	930	751	10	6.49531
YCL008C	1158	979	149	74.241
YEL065W	1887	1708	70	19.9917
YNL335W	678	499	9.5	9.28674
YMR296C	1677	1498	386	125.694
YDR232W	1647	1468	231	76.7584
YGR190C	366	187	8.37611	21.8495
YHR116W	456	277	25	44.0251
YDR313C	861	682	45	32.1861
YFR018C	1092	913	175	93.4991
YKL007W	807	628	186	144.475
YIL048W	3456	3277	141	20.9886
YDL213C	678	499	153	149.565
YDR443C	4263	4084	77.1369	9.21332
YNL292W	1212	1033	59	27.8607
YKL183C-A	213	36.0583	0	0
YOR324C	1809	1630	63.8682	19.1134
YNL134C	1131	952	127	65.0739
YKL100C	1764	1585	290	89.2501
YOR192C-B	5313	5134	47.9696	4.55775
YPL021W	564	385	0	0
YIL146C	1590	1411	35	12.0999
YLR299C-A	93	4.74468	0	0
YNL218W	1764	1585	49	15.0802
