target_id	length	eff_length	est_counts	tpm
YHR055C	187	19.5103	0	0
YPR161C	1975	1796	23	21.7445
YOL138C	4027	3848	5	2.20629
YDR395W	2836	2657	97	61.988
YGR129W	649	470	3	10.838
YPR165W	631	452	73	274.228
YPR098C	583	404	30	126.086
YPL015C	1075	896	16	30.3207
YCL050C	967	788	134	288.739
YAL069W	316	137	0	0
YMR193W	778	599	11	31.1812
YGR053C	853	674	1	2.51923
YER087C-B	250	71.016	24	573.829
YOR280C	802	623	7	19.0782
YGR097W	3442	3263	18	9.36662
YKL025C	2041	1862	18	16.4142
YKR011C	1063	884	27	51.8607
YEL004W	1030	851	6	11.9715
YJL200C	2371	2192	40	30.9847
YLL027W	754	575	20	59.0595
YLR045C	2668	2489	16	10.915
YOR024W	325	146	0	0
YDR348C	1501	1322	18	23.119
YPL183C	3043	2864	32	18.9716
YGR003W	2236	2057	6	4.95273
YBL095W	814	635	4	10.6958
YGL060W	1927	1748	8	7.77098
YLL007C	1999	1820	4	3.73178
YEL009C	847	668	11	27.9604
YOR083W	889	710	2	4.78298
YEL015W	1657	1478	23	26.4229
YDR329C	1327	1148	16	23.6649
YBR252W	445	266	33	210.649
YDL202W	751	572	18	53.4323
YHR209W	877	698	3	7.29782
YER075C	2788	2609	6	3.90485
YDL203C	1873	1694	12	12.028
YBR050C	1018	839	1	2.02379
YMR197C	655	476	10	35.6714
YBL049W	418	239	0	0
YER054C	1648	1469	1	1.15586
YDR305C	744	565	8	24.0419
YNL201C	2578	2399	13	9.20111
YCR061W	1897	1718	39	38.5451
YHR051W	448	269	34	214.612
YPL171C	1204	1025	0	0
YDL116W	2182	2003	33	27.9744
YPR124W	1222	1043	57	92.7936
YGL167C	2854	2675	75	47.6063
YJL023C	1045	866	1	1.96069
YDL165W	577	398	14	59.7272
YIL143C	2533	2354	28	20.1966
YGR240C	2965	2786	1059	645.42
YOR094W	553	374	12	54.48
YDR167W	622	443	6	22.9972
YBR063C	1216	1037	0	0
YER052C	1585	1406	113	136.465
YPR187W	545	366	31	143.816
YPL118W	1036	857	21	41.6069
YGR178C	2170	1991	71	60.55
YPR086W	1039	860	21	41.4618
YOL141W	2089	1910	3	2.66695
YJL065C	505	326	11	57.2931
YBR122C	535	356	13	62.0041
YBR279W	1339	1160	25	36.5939
YBR271W	1261	1082	8	12.5542
YER130C	1333	1154	12	17.6564
YBR155W	1159	980	16	27.7218
YDR363W	1372	1193	2	2.84654
YPL147W	2614	2435	0	0
YLR443W	1348	1169	7	10.1674
YGR266W	2107	1928	20	17.6137
YBR067C	634	455	256	955.335
YAL034C	1243	1064	1	1.59583
YLR270W	1054	875	29	56.2752
YCR095C	1090	911	7	13.0469
YPR084W	1372	1193	3	4.26981
YMR113W	1285	1106	12	18.4227
YBR184W	1573	1394	2	2.4361
YGR035C	352	173	4	39.2592
YCL008C	1159	980	14	24.2566
YDL222C	931	752	2	4.51585
YEL065W	1888	1709	17	16.8902
YMR296C	1678	1499	89	100.813
YNL335W	679	500	1	3.39592
YDR232W	1648	1469	63	72.8192
YGR190C	367	188	3.19421	28.8491
YHR116W	457	278	1	6.10777
YDR313C	862	683	0	0
YFR018C	1093	914	14	26.0081
YKL007W	808	629	28	75.5848
YIL048W	3457	3278	16	8.28778
YDL213C	679	500	14	47.5429
YDR443C	4264	4085	7	2.9096
YNL292W	1213	1034	17	27.9162
YOR324C	1810	1631	0	0
YNL134C	1132	953	203	361.685
YKL100C	1765	1586	24	25.6942
YPL021W	565	386	0	0
YIL146C	1591	1412	3	3.60756
YNL218W	1765	1586	3	3.21178
YIL121W	1630	1451	28	32.7656
YDL167C	2161	1982	14	11.9937
YPL214C	1624	1445	3	3.52517
YOR228C	910	731	3	6.96837
YBR270C	1639	1460	2	2.32597
YGR222W	883	704	6	14.4712
YML020W	1996	1817	5	4.67242
YGR121C	1480	1301	0	0
YBR222C	1633	1454	52	60.7248
YDL003W	1702	1523	31	34.5612
YOR323C	1372	1193	133	189.295
YMR183C	889	710	51	121.966
YOR274W	1288	1109	2	3.06214
YER146W	283	104	16	261.224
YML075C	3166	2987	52	29.5594
YPL063W	1432	1253	74	100.279
YLR273C	1948	1769	0	0
YDR457W	9808	9629	73	12.8727
YLR434C	385	206	0	0
YDR181C	1447	1268	3	4.01725
YGL097W	1450	1271	39	52.101
YCL056C	436	257	1	6.60685
YMR242W-A	91	4.6639	0	0
YJL083W	1816	1637	5	5.18619
YPL140C	1522	1343	4	5.05721
YOR026W	1027	848	1	2.00231
YNR016C	6703	6524	583	151.734
