target_id	length	eff_length	est_counts	tpm
YHR055C	187	19.5103	44	439.643
YPR161C	1975	1796	497	53.9462
YOL138C	4027	3848	295	14.9451
YDR395W	2836	2657	1126	82.6148
YGR129W	649	470	46	19.0797
YPR165W	631	452	1151	496.418
YPR098C	583	404	209	100.85
YPL015C	1075	896	481	104.652
YCL050C	967	788	1218	301.323
YAL069W	316	137	1	1.42295
YMR193W	778	599	248	80.7116
YGR053C	853	674	31	8.96629
YER087C-B	250	71.016	109	299.214
YOR280C	802	623	188	58.8276
YGR097W	3442	3263	592	35.3684
YKL025C	2041	1862	503	52.6622
YKR011C	1063	884	359	79.1687
YEL004W	1030	851	166	38.0268
YJL200C	2371	2192	735	65.3669
YLL027W	754	575	255	86.4537
YLR045C	2668	2489	362	28.3527
YOR024W	325	146	1	1.33524
YDR348C	1501	1322	603	88.9195
YPL183C	3043	2864	907	61.737
YGR003W	2236	2057	353	33.4543
YBL095W	814	635	237	72.7588
YGL060W	1927	1748	350	39.0335
YLL007C	1999	1820	161	17.2451
YEL009C	847	668	5284	1542.05
YOR083W	889	710	124	34.0467
YEL015W	1657	1478	705	92.9878
YDR329C	1327	1148	349	59.2645
YBR252W	445	266	202	148.041
YDL202W	751	572	183	62.3686
YHR209W	877	698	216	60.3267
YER075C	2788	2609	206	15.3923
YDL203C	1873	1694	297	34.1786
YBR050C	1018	839	43	9.9912
YMR197C	655	476	213	87.2336
YBL049W	418	239	55	44.8617
YER054C	1648	1469	69	9.15669
YDR305C	744	565	110	37.9538
YNL201C	2578	2399	403	32.7481
YCR061W	1897	1718	58	6.58136
YHR051W	448	269	294	213.062
YPL171C	1204	1025	29	5.5155
YDL116W	2182	2003	677	65.8899
YPR124W	1222	1043	769	143.732
YGL167C	2854	2675	748	54.5116
YJL023C	1045	866	166	37.3681
YDL165W	577	398	234	114.616
YIL143C	2533	2354	512	42.4009
YGR240C	2965	2786	1844	129.03
YOR094W	553	374	154	80.2713
YDR167W	622	443	117	51.4865
YBR063C	1216	1037	177	33.274
YER052C	1585	1406	1026	142.257
YPR187W	545	366	398	211.989
YPL118W	1036	857	465	105.775
YGR178C	2170	1991	980	95.9546
YPR086W	1039	860	334	75.711
YOL141W	2089	1910	68	6.94043
YJL065C	505	326	170	101.658
YBR122C	535	356	275	150.589
YBR279W	1339	1160	371	62.3486
YBR271W	1261	1082	267	48.1055
YER130C	1333	1154	654	110.48
YBR155W	1159	980	198	39.3868
YDR363W	1372	1193	173	28.2694
YPL147W	2614	2435	188	15.0512
YLR443W	1348	1169	352	58.7002
YGR266W	2107	1928	550	55.6118
YBR067C	634	455	1383	592.546
YAL034C	1243	1064	115	21.0701
YLR270W	1054	875	333	74.1903
YCR095C	1090	911	228	48.7896
YPR084W	1372	1193	132	21.5697
YMR113W	1285	1106	228	40.1875
YBR184W	1573	1394	96	13.4252
YGR035C	352	173	112	126.207
YCL008C	1159	980	364	72.408
YDL222C	931	752	85	22.035
YEL065W	1888	1709	230	26.236
YMR296C	1678	1499	1004	130.57
YNL335W	679	500	71	27.6821
YDR232W	1648	1469	262	34.7689
YGR190C	367	188	69.3705	71.933
YHR116W	457	278	43	30.1533
YDR313C	862	683	61	17.4109
YFR018C	1093	914	247	52.6819
YKL007W	808	629	697	216.02
YIL048W	3457	3278	410	24.3829
YDL213C	679	500	197	76.8081
YDR443C	4264	4085	151.086	7.21014
YNL292W	1213	1034	291	54.8635
YOR324C	1810	1631	174	20.7973
YNL134C	1132	953	3931	804.121
YKL100C	1765	1586	1061	130.414
YPL021W	565	386	0	0
YIL146C	1591	1412	238	32.8589
YNL218W	1765	1586	131	16.102
YIL121W	1630	1451	802	107.75
YDL167C	2161	1982	325	31.9662
YPL214C	1624	1445	362	48.8373
YOR228C	910	731	158	42.1358
YBR270C	1639	1460	241	32.1792
