target_id	length	eff_length	est_counts	tpm
YHR055C	186	19.0638	44.8376	1129.46
YPR161C	1974	1795	96	25.6828
YOL138C	4026	3847	69	8.61318
YDR395W	2835	2656	143	25.855
YGR129W	648	469	17	17.4065
YPR165W	630	451	365	388.645
YPR098C	486	307	35	54.7477
YPL015C	1074	895	93	49.8995
YCL050C	966	787	313	190.988
YAL069W	315	136	0	0
YMR193W	777	598	39	31.3184
YLR031W	561	382	4	5.02844
YIL014C-A	315	136	1	3.531
YGR053C	852	673	12	8.56254
YCR101C	549	370	0	0
YER087C-B	249	70.019	55	377.21
YOR280C	801	622	43	33.1982
YGR097W	3441	3262	216	31.7985
YHR215W	1404	1225	556.148	218.017
YKL025C	2040	1861	85	21.9336
YKR011C	1062	883	46	25.0169
YEL004W	1029	850	19	10.7342
YJL200C	2370	2191	124	27.1779
YLL027W	753	574	80	66.929
YOR024W	324	145	0	0
YLR045C	2667	2488	81	15.634
YDR348C	1500	1321	213	77.4307
YPL183C	3042	2863	98	16.4377
YGR003W	2235	2056	20	4.67136
YEL008C-A	93	4.74468	0	0
YBL095W	813	634	40.6482	30.7885
YGL060W	1926	1747	46	12.6445
YLL007C	1998	1819	27	7.128
YEL009C	846	667	1103	794.12
YEL015W	1656	1477	173	56.2473
YOR083W	888	709	31	20.9967
YBR252W	444	265	106	192.086
YDR329C	1326	1147	81	33.9124
YDL202W	750	571	40	33.6403
YHR209W	876	697	56	38.5826
YPR008W	2085	1906	203	51.1457
YER075C	2787	2608	40	7.36527
YDL203C	1872	1693	46	13.0478
YBR050C	1017	838	22	12.6071
YMR197C	654	475	82	82.9004
YDR261W-A	1317	1138	0	0
YBL049W	417	238	7	14.124
YER054C	1647	1468	36	11.7764
YDR305C	654	475	40	40.4392
YHL019W-A	594	415	40.4526	46.8096
YNL201C	2577	2398	74	14.819
YHR180W-A	183	17.7996	0	0
YCR061W	1896	1717	42	11.7467
YBR206W	324	145	37.5323	124.301
YPL171C	1203	1024	5	2.3448
YHR051W	447	268	47	84.2169
YDL116W	2181	2002	86	20.6286
YPR124W	1221	1042	400.284	184.475
YJL023C	1044	865	35	19.4307
YGL167C	2853	2674	256	45.9743
YDL165W	576	397	42	50.8037
YLR154C-H	132	7.19434	0	0
YPL119C-A	264	85.0011	2	11.2991
YIL143C	2532	2353	99	20.2046
YBR292C	372	193	0	0
YGR240C	2964	2785	1405	242.263
YOR094W	552	373	23	29.6112
YDR167W	621	442	66	71.7064
YBR063C	1215	1036	19	8.80705
YER052C	1584	1405	214	73.1432
YGR178C	2169	1990	283	68.292
YPL118W	1035	856	87	48.807
YPR187W	468	289	220	365.562
YJL065C	504	325	33	48.7604
YOL141W	2088	1909	6	1.50932
YPR086W	1038	859	116	64.8487
YBR122C	534	355	45	60.8724
YBR271W	1260	1081	54	23.9886
YBR279W	1338	1159	122	50.549
YHR095W	495	316	0	0
YMR221C	1515	1336	70	25.161
YDR241W	288	109	0	0
YJL221C	1770	1591	13.9129	4.19938
YER130C	1332	1153	66	27.4885
YBR155W	1158	979	98	48.0706
YDR363W	1371	1192	43	17.3232
YGR266W	2106	1927	92	22.9268
YLR443W	1347	1168	79.2769	32.5942
YPL147W	2613	2434	28	5.52426
YAL034C	1242	1063	57	25.75
YBR067C	633	454	1030	1089.48
YCR095C	1089	910	37	19.5253
YLR270W	1053	874	67	36.8129
YPR084W	1371	1192	46	18.5318
YBR184W	1572	1393	8	2.75788
YMR113W	1284	1105	63	27.3788
YGR035C	351	172	71	198.229
YDL222C	930	751	5	3.19718
YCL008C	1158	979	113	55.4284
YEL065W	1887	1708	174	48.9213
YNL335W	678	499	9.75	9.38297
YMR296C	1677	1498	443	142.013
YDR232W	1647	1468	252	82.4349
YGR190C	366	187	10.233	26.2783
YHR116W	456	277	24	41.6071
YDR313C	861	682	36	25.3486
YFR018C	1092	913	116	61.0132
YKL007W	807	628	132	100.937
YIL048W	3456	3277	106	15.5334
YDL213C	678	499	173	166.488
YDR443C	4263	4084	51.8536	6.09718
YNL292W	1212	1033	102	47.4172
YKL183C-A	213	36.0583	2	26.6355
YOR324C	1809	1630	51	15.0252
YNL134C	1131	952	228	115.01
YKL100C	1764	1585	168	50.8998
YOR192C-B	5313	5134	191.423	17.905
YPL021W	564	385	0	0
YIL146C	1590	1411	25	8.50843
YLR299C-A	93	4.74468	0	0
YNL218W	1764	1585	42	12.725
YIL121W	1629	1450	173	57.2947
YNL228W	777	598	25.5568	20.5231
YDL167C	2160	1981	91	22.0594
YPL214C	1623	1444	73	24.2768
YOR228C	909	730	25	16.4457
YBR270C	1638	1459	24	7.89937
YGR222W	882	703	41	28.0069
YEL063C	1773	1594	104	31.3315
YAL068W-A	255	76.0064	0	0
YML020W	1995	1816	66	17.4528
YGR121C	1479	1300	53	19.578
YBR222C	1632	1453	164	54.2019
YDL095W	2454	2275	256	54.0375
YDL003W	1701	1522	32	10.0965
YOR323C	1371	1192	251	101.119
YMR183C	888	709	131	88.7282
YOR274W	1287	1108	46	19.9368
YER146W	282	103	53.0264	247.224
YML075C	3165	2986	254	40.8489
YOL035C	303	124	12.2405	47.4038
YPL063W	1431	1252	206	79.0131
YDR457W	9807	9628	253	12.6189
YLR273C	1947	1768	13	3.531
YDR181C	1446	1267	42	15.9188
YLR434C	384	205	0	0
YGL097W	1449	1270	168	63.5246
YCL056C	435	256	21	39.3927
YJL083W	1815	1636	51	14.9701
YMR242W-A	90	4.62459	0	0
YOR026W	1026	847	29	16.4419
YPL140C	1521	1342	39	13.9556
YNR016C	6702	6523	907	66.7723
YER123W	1575	1396	63	21.6716
YGR055W	1725	1546	150	46.5927
YKR054C	12279	12100	101	4.00841
YMR315W	1050	871	168	92.6249
YAL024C	4308	4129	48	5.58255
YKL202W	582	403	1.22426	1.45883
YKL187C	2253	2074	46	10.6509
YDR383C	717	538	33	29.4556
YDR396W	501	322	43.8482	65.3932
YGR115C	780	601	0	0
YKL055C	837	658	8	5.83849
YDR035W	1113	934	283	145.504
YBL062W	381	202	2.24211	5.33017
YHR160C	852	673	12	8.56254
YGR047C	3078	2899	44	7.28855
YDR119W	2307	2128	126	28.4338
YBR208C	5508	5329	120	10.8136
YER151C	2739	2560	167	31.3266
YLR070C	1071	892	22	11.8439
YPR019W	2802	2623	96	17.5756
YPL228W	1650	1471	42	13.7111
YPR190C	1965	1786	96	25.8123
YGR041W	1644	1465	76	24.9122
YDR353W	960	781	673	413.809
YHR097C	1101	922	171	89.0639
