target_id	length	eff_length	est_counts	tpm
YHR055C	184	18.2087	2	63.15
YPR161C	1975	1796	55	17.6067
YOL138C	4021	3842	22	3.29221
YDR395W	2836	2657	497	107.544
YGR129W	649	470	4	4.89311
YPR165W	631	452	280	356.158
YPR098C	583	404	28	39.8473
YPL015C	1084	905	14	8.8941
YCL050C	967	788	501	365.539
YAL069W	199	25.9389	0	0
YMR193W	778	599	47	45.1122
YGR053C	853	674	1	0.853027
YER087C-B	250	71.016	27	218.59
YOR280C	802	623	19	17.5343
YGR097W	3439	3260	79	13.9326
YKL025C	2044	1865	106	32.6776
YKR011C	1063	884	33	21.4627
YEL004W	1030	851	11	7.43166
YJL200C	2371	2192	59	15.4751
YLL027W	754	575	45	44.9953
YLR045C	2668	2489	94	21.7133
YOR024W	196	24.1385	0	0
YDR348C	1498	1319	48	20.9228
YPL183C	3043	2864	182	36.536
YGR003W	2236	2057	30	8.38513
YBL095W	850	671	16	13.7095
YGL060W	2020	1841	33	10.3058
YLL007C	1999	1820	22	6.94983
YEL009C	850	671	76	65.1199
YOR083W	883	704	12	9.80012
YEL015W	1657	1478	90	35.0099
YDR329C	1321	1142	45	22.6553
YBR252W	445	266	153	330.699
YDL202W	751	572	106	106.545
YHR209W	880	701	19	15.5833
YER075C	2746	2567	64	14.3343
YDL203C	1876	1697	11	3.72678
YBR050C	1081	902	0	0
YMR197C	655	476	31	37.4436
YBL049W	418	239	2	4.81121
YER054C	1645	1466	3	1.17655
YDR305C	708	529	19	20.65
YNL201C	2578	2399	29	6.95009
YCR061W	1891	1712	64	21.4931
YHR051W	448	269	183	391.13
YPL171C	1204	1025	18	10.0965
YDL116W	2182	2003	125	35.8799
YPR124W	1330	1151	270	134.869
YGL167C	2854	2675	288	61.9001
YJL023C	1045	866	15	9.95855
YDL165W	577	398	38	54.8938
YIL143C	2533	2354	119	29.0645
YGR240C	2965	2786	2782.66	574.252
YOR094W	553	374	14	21.5218
YDR167W	622	443	34	44.1263
YBR063C	1222	1043	0	0
YER052C	1585	1406	284	116.133
YPR187W	545	366	134	210.497
YPL118W	1036	857	109	73.1254
YGR178C	2170	1991	311	89.8073
YPR086W	1039	860	47	31.4211
YOL141W	2131	1952	53	15.6106
YJL065C	502	323	21	37.38
YBR122C	535	356	57	92.055
YBR279W	1342	1163	103	50.919
YBR271W	1255	1076	41	21.9076
YER130C	1357	1178	37	18.0584
YBR155W	1159	980	88	51.6273
YDR363W	1372	1193	27	13.0121
