read name: @SOMEREAD_83, chromosome: Chromosome_2, strand: +, position: 1707 
read name: @SOMEREAD_1680, chromosome: Chromosome_1, strand: +, position: 153689 
read name: @SOMEREAD_7883, chromosome: Chromosome_1, strand: +, position: 198758 
read name: @SOMEREAD_6380, chromosome: Chromosome_1, strand: +, position: 145174 
read name: @SOMEREAD_3238, chromosome: Chromosome_1, strand: +, position: 135149 
read name: @SOMEREAD_484, chromosome: Chromosome_2, strand: +, position: 1470 
read name: @SOMEREAD_3737, chromosome: Chromosome_1, strand: +, position: 99431 
read name: @SOMEREAD_3009, chromosome: Chromosome_1, strand: +, position: 218484 
read name: @SOMEREAD_9405, chromosome: Chromosome_1, strand: +, position: 154408 
read name: @SOMEREAD_7729, chromosome: Chromosome_0, strand: +, position: 440525 
read name: @SOMEREAD_9288, chromosome: Chromosome_0, strand: +, position: 212055 
read name: @SOMEREAD_3465, chromosome: Chromosome_1, strand: +, position: 31674 
read name: @SOMEREAD_762, chromosome: Chromosome_1, strand: +, position: 4266 
read name: @SOMEREAD_3182, chromosome: Chromosome_1, strand: +, position: 69989 
read name: @SOMEREAD_5787, chromosome: Chromosome_1, strand: +, position: 65805 
read name: @SOMEREAD_5216, chromosome: Chromosome_1, strand: +, position: 98832 
read name: @SOMEREAD_1795, chromosome: Chromosome_2, strand: +, position: 98232 
read name: @SOMEREAD_6524, chromosome: Chromosome_2, strand: +, position: 73305 
read name: @SOMEREAD_2134, chromosome: Chromosome_0, strand: +, position: 337740 
read name: @SOMEREAD_3729, chromosome: Chromosome_2, strand: +, position: 71024 
read name: @SOMEREAD_7695, chromosome: Chromosome_2, strand: +, position: 10449 
read name: @SOMEREAD_1503, chromosome: Chromosome_2, strand: +, position: 21020 
read name: @SOMEREAD_7777, chromosome: Chromosome_2, strand: +, position: 38933 
read name: @SOMEREAD_2361, chromosome: Chromosome_0, strand: +, position: 313883 
read name: @SOMEREAD_1190, chromosome: Chromosome_2, strand: +, position: 34819 
read name: @SOMEREAD_1578, chromosome: Chromosome_0, strand: +, position: 6263 
read name: @SOMEREAD_5477, chromosome: Chromosome_0, strand: +, position: 174240 
read name: @SOMEREAD_5189, chromosome: Chromosome_1, strand: +, position: 116102 
read name: @SOMEREAD_7196, chromosome: Chromosome_1, strand: +, position: 124197 
read name: @SOMEREAD_6059, chromosome: Chromosome_0, strand: +, position: 69035 
read name: @SOMEREAD_4427, chromosome: Chromosome_2, strand: +, position: 36527 
read name: @SOMEREAD_8677, chromosome: Chromosome_1, strand: +, position: 96189 
read name: @SOMEREAD_6426, chromosome: Chromosome_1, strand: +, position: 216124 
read name: @SOMEREAD_4869, chromosome: Chromosome_2, strand: +, position: 69156 
read name: @SOMEREAD_6606, chromosome: Chromosome_2, strand: +, position: 50454 
read name: @SOMEREAD_3645, chromosome: Chromosome_2, strand: +, position: 75943 
read name: @SOMEREAD_6587, chromosome: Chromosome_0, strand: +, position: 380808 
read name: @SOMEREAD_749, chromosome: Chromosome_0, strand: +, position: 75393 
read name: @SOMEREAD_7110, chromosome: Chromosome_0, strand: +, position: 415312 
read name: @SOMEREAD_9788, chromosome: Chromosome_0, strand: +, position: 143220 
read name: @SOMEREAD_9057, chromosome: Chromosome_2, strand: +, position: 63448 
read name: @SOMEREAD_1750, chromosome: Chromosome_2, strand: +, position: 65724 
read name: @SOMEREAD_7197, chromosome: Chromosome_2, strand: +, position: 39880 
read name: @SOMEREAD_1778, chromosome: Chromosome_0, strand: +, position: 128720 
read name: @SOMEREAD_7490, chromosome: Chromosome_0, strand: +, position: 201989 
read name: @SOMEREAD_3698, chromosome: Chromosome_1, strand: +, position: 192152 
read name: @SOMEREAD_8068, chromosome: Chromosome_1, strand: +, position: 34165 
read name: @SOMEREAD_1456, chromosome: Chromosome_0, strand: +, position: 85010 
read name: @SOMEREAD_349, chromosome: Chromosome_1, strand: +, position: 79401 
read name: @SOMEREAD_263, chromosome: Chromosome_2, strand: +, position: 87988 
read name: @SOMEREAD_3032, chromosome: Chromosome_2, strand: +, position: 38686 
read name: @SOMEREAD_954, chromosome: Chromosome_2, strand: +, position: 56168 
