target_id	length	eff_length	est_counts	tpm
YHR055C	184	18.2087	3	32.0817
YPR161C	1975	1796	469	50.849
YOL138C	4021	3842	232	11.7584
YDR395W	2836	2657	2379	174.349
YGR129W	649	470	60	24.8582
YPR165W	631	452	1056	454.927
YPR098C	583	404	86	41.4508
YPL015C	1084	905	174	37.4383
YCL050C	967	788	1462	361.274
YAL069W	199	25.9389	0	0
YMR193W	778	599	226	73.4679
YGR053C	853	674	36	10.4006
YER087C-B	250	71.016	121	331.776
YOR280C	802	623	85	26.5673
YGR097W	3439	3260	319	19.0541
YKL025C	2044	1865	516	53.8749
YKR011C	1063	884	277	61.0159
YEL004W	1030	851	200	45.7632
YJL200C	2371	2192	440	39.0866
YLL027W	754	575	230	77.8889
YLR045C	2668	2489	390	30.5109
YOR024W	196	24.1385	0	0
YDR348C	1498	1319	325	47.9794
YPL183C	3043	2864	1945	132.24
YGR003W	2236	2057	454	42.9771
YBL095W	850	671	165	47.8825
YGL060W	2020	1841	384	40.6156
YLL007C	1999	1820	108	11.555
YEL009C	850	671	4416	1281.51
YOR083W	883	704	107	29.5956
YEL015W	1657	1478	686	90.3786
YDR329C	1321	1142	191	32.5674
YBR252W	445	266	355	259.874
YDL202W	751	572	310	105.531
YHR209W	880	701	125	34.7222
YER075C	2746	2567	404	30.6458
YDL203C	1876	1697	237	27.1946
YBR050C	1081	902	7	1.51115
YMR197C	655	476	149	60.953
YBL049W	418	239	23	18.739
YER054C	1645	1466	36	4.78172
YDR305C	708	529	87	32.0243
YNL201C	2578	2399	385	31.2497
YCR061W	1891	1712	13	1.47862
YHR051W	448	269	367	265.662
YPL171C	1204	1025	99	18.8073
YDL116W	2182	2003	1156	112.381
YPR124W	1330	1151	1349	228.219
YGL167C	2854	2675	1330	96.8152
YJL023C	1045	866	189	42.4971
YDL165W	577	398	191	93.4472
YIL143C	2533	2354	614	50.7899
YGR240C	2965	2786	3612.59	252.495
YOR094W	553	374	92	47.8996
YDR167W	622	443	157	69.01
YBR063C	1222	1043	159	29.6844
YER052C	1585	1406	931	128.938
YPR187W	545	366	498	264.95
YPL118W	1036	857	479	108.835
YGR178C	2170	1991	1229	120.198
YPR086W	1039	860	261	59.096
YOL141W	2131	1952	313	31.2234
YJL065C	502	323	146	88.0169
YBR122C	535	356	186	101.737
YBR279W	1342	1163	403	67.4747
YBR271W	1255	1076	306	55.3764
YER130C	1357	1178	225	37.1923
YBR155W	1159	980	461	91.599
YDR363W	1372	1193	220	35.9086
YPL147W	2614	2435	105	8.39665
YLR443W	1348	1169	348	57.967
YGR266W	2119	1940	450	45.1676
YBR067C	622	443	291	127.91
YAL034C	1234	1055	157	28.9776
YLR270W	1054	875	325	72.3255
YCR095C	1090	911	262	56.0014
YPR084W	1372	1193	245	39.9891
YMR113W	1285	1106	234	41.198
YBR184W	1675	1496	83	10.8034
YGR035C	358	179	34	36.9864
YCL008C	1159	980	190	37.7523
YDL222C	931	752	16	4.14303
YEL065W	1888	1709	1164	132.625
YMR296C	1678	1499	1229	159.649
YNL335W	679	500	7	2.72611
YDR232W	1648	1469	1216	161.186
YGR190C	283	104	59.6531	111.69
YHR116W	388	209	19	17.702
YDR313C	874	695	77	21.5736
YFR018C	1087	908	203	43.5337
YKL007W	808	629	429	132.807
YIL048W	3457	3278	483	28.6916
YDL213C	676	497	289	113.229
YDR443C	4261	4082	136	6.48757
YNL292W	1222	1043	537	100.255
YOR324C	1804	1625	105	12.5821
YNL134C	1132	953	200	40.8651
YKL100C	1780	1601	325	39.5283
YPL021W	565	386	5	2.52231
YIL146C	1588	1409	123	16.9985
YNL218W	1762	1583	130	15.9911
YIL121W	1693	1514	74	9.51747
YDL167C	2119	1940	380	38.1415
YPL214C	1624	1445	314	42.3134
YOR228C	910	731	83	22.1094
YBR270C	1639	1460	184	24.5404
YGR222W	895	716	200	54.3917
YML020W	1993	1814	120	12.8813
YGR121C	1480	1301	122	18.2599
YBR222C	1633	1454	234	31.3377
YDL003W	1696	1517	652	83.6908
YOR323C	1426	1247	892	139.288
YMR183C	889	710	515	141.242
YOR274W	1288	1109	104	18.2607
YER146W	283	104	99	185.361
YML075C	3169	2990	3451.98	224.808
YPL063W	1435	1256	1107	171.622
YLR273C	1990	1811	58	6.23628
